Time, SR_out, T_out, RH_out, Ws_out, W_out, VPD_out, SR_in, T_in, Tsoil, RH_in, W_in, Ws_in, VPD_in
4:00, 0, 13.7, 33.2, 0.01066, 0.0035, 1.0473, 0, 13.7, 15.7, 33.2, 0.0035, 0.01066, 1.0473
4:15, 0, 13.28, 35.28, 0.01037, 0.00362, 0.987, 0, 16.5, 15.6, 27.9, 0.00353, 0.01285, 1.3575
4:30, 0, 12.85, 37.35, 0.01007, 0.00373, 0.929, 0, 17, 15.5, 27.4, 0.00359, 0.01327, 1.4102
4:45, 0, 12.43, 39.43, 0.0098, 0.00383, 0.874, 0, 16.9, 15.4, 28.2, 0.00365, 0.01312, 1.3797
5:00, 0, 12, 41.5, 0.00952, 0.00392, 0.821, 0, 16.5, 15.4, 29.5, 0.00372, 0.01282, 1.3246
5:15, 2.08, 11.88, 41.4, 0.00944, 0.00387, 0.815, 1.6, 16.3, 15.4, 30.2, 0.00377, 0.01266, 1.2955
5:30, 4.17, 11.75, 41.3, 0.00936, 0.00383, 0.81, 3.3, 16.2, 15.3, 30.6, 0.00378, 0.01254, 1.2763
5:45, 6.25, 11.63, 41.2, 0.00929, 0.00379, 0.805, 4.9, 16.1, 15.3, 30.8, 0.00379, 0.01245, 1.2626
6:00, 8.33, 11.5, 41.1, 0.00921, 0.00375, 0.799, 6.5, 15.9, 15.3, 31, 0.00378, 0.01236, 1.2509
6:15, 44.44, 12.58, 37.98, 0.0099, 0.00372, 0.904, 34.8, 16.9, 15.5, 29, 0.00376, 0.01316, 1.3682
6:30, 80.56, 13.65, 34.85, 0.01062, 0.00366, 1.018, 63, 18.2, 15.7, 26.5, 0.00373, 0.01434, 1.541
6:45, 116.67, 14.73, 31.73, 0.01141, 0.00358, 1.144, 91.2, 19.7, 16, 23.9, 0.00369, 0.01574, 1.7471
7:00, 152.78, 15.8, 28.6, 0.01224, 0.00345, 1.282, 119.5, 21.2, 16.3, 21.4, 0.00362, 0.0173, 1.9783
7:15, 211.11, 16.95, 26.5, 0.01319, 0.00344, 1.42, 165.1, 22.9, 16.7, 19, 0.00357, 0.01926, 2.263
7:30, 269.44, 18.1, 24.4, 0.0142, 0.00341, 1.57, 210.7, 24.7, 17, 16.9, 0.00353, 0.02153, 2.5883
